103464|TAG GROUP|CARTÕES POSTAIS|RADIO LIBERDADE FM DE SANTA RITA LTDA.|431|1002171|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420114/2015|4888.80|2015-07-29|VEICULAÇÃO|RADIO LIBERDADE|
104127|TAG GROUP|MÍDIA NOVEMBRO|EDITORA JORNAL DA PARAIBA LTDA|13701|1003145|222/2013 ADITIVO- 06|25/05/2015 A 24/11/2016|420109/2016|3026.40|2016-12-21|VEICULAÇÃO|JP ONLINE|
103326|DABLIU A|IPTU|RADIO E TELEVISÃO PARAIBANA LTDA|7526|40261|222/2013 ADITIVO- 03|25/11/2014 a24/05/2015|420035/2015|38800.00|2015-05-05|VEICULAÇÃO|RADIO ARAPUAN FM|
103945|SUPERLIGA 66|IPTU 2016|EMPRESA DE TELEVISAO JOAO PESSOA LTDA|33539|1000901|222/2013 ADITIVO- 05|25/05/2015 A 24/11/2016|420014/2016|36200.40|2016-04-13|VEICULAÇÃO|RCTV|
103870|DABLIU A|VEICULAÇÃO NOVEMBRO|MARIANO E CARDOSO LTDA|591|40715|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420173/2015|9700.00|2015-12-22|VEICULAÇÃO|MIDIA XXI|
103288|DABLIU A|NOTA|RADIO FM CORREIO DE JOAO PESSOA LTDA EPP|16292|40243|222/2013 ADITIVO- 03|25/11/2014 a24/05/2015|420035/2015|2483.20|2015-04-30|VEICULAÇÃO|RDIO 98 FM|
103663|DABLIU A|MIDIA SETEMBRO|RADIO LIBERDADE FM DE SANTA RITA LTDA.|443|40612|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420150/2015|5674.50|2015-10-20|VEICULAÇÃO|RADIO LIBERDADE|
104690|TAG ZAG|CRIAÇÃO AGOSTO|TAG GROUP COMUNICAÇÃO LTDA|1003746|1003746|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420114/2017|107860.00|2017-10-11|CRIAÇÃO|TAG|
103351|SUPERLIGA 66|OBRAS|ALEXANDRE DE SOUSA FREIRE - ME|1000074|10000337|222/2013|25/11/2013 a 24/05/2014|420291/2013|1940.00|2015-05-06|VEICULAÇÃO|27 E 10 COMUNICAÇÃO|
102666|SUPERLIGA66|REVITALIZAÇÃO DA LAGOA|REVISTA PAINEL EMPRESARIAL|1000062|1000277|222/2013 ADITIVO- 02|25/05/2014 a24/11/2014|420109/2014|14550.00|2014-08-28|VEICULAÇÃO|REVISTA PAINEL|
104043|SUPERLIGA 66|LONAS REVEILON 2015|ADESIVO DOIS COMUNICAÇÃO VISUAL LTDA|1001846|1001163|222/2013 ADITIVO- 06|25/05/2015 A 24/11/2016|420101/2016|6900.00|2016-11-25|PRODUÇÃO|ADESIVO DOIS|
103242|TAG GROUP|FESTIVAL DE MUSICA CLASSICA 2|SOCIEDADE PARAIBANA DE COMUNICAÇÃO LTDA|4516|1001619|222/2013 ADITIVO- 03|25/11/2014 a24/05/2015|420034/2015|8000.09|2015-02-06|VEICULAÇÃO|TV ARAPUAN|
102287|SUPER LIGA 66|JOÃO PESSOA ARTESÃ|TELEVISÃO CABO BRANCO|28308|1000118|222/2013|25/11/2013 a 24/05/2014|420291/2013|32913.00|2014-04-23|VEICULAÇÃO|TV CABO BRANCO|
103714|SUPERLIGA 66|MIDIA OUTUBRO|TELEVISÃO CABO BRANCO LDTA|1165|1000698|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420157/2015|14550.00|2015-11-19|VEICULAÇÃO|G1|
104386|TAG ZAG|VEICULAÇÃO ABRIL|RADIO FM CORREIO DE JOAO PESSOA LTDA|18214|1003490|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420075/2017|5723.00|2017-06-13|vEICULAÇÃO|RADIO 98 CORREIO FM|
104247|TAG GROUP|VEICULAÇÃO JANEIRO|TELEVISÃO CABO BRANCO  LTDA|34502|1003323|222/2013 ADITIVO- 07|25/11/2016 A 24/05/2017|420027/2017|122217.09|2017-03-10|VEICULAÇÃO|TV CABO BRANCO|
104472|TAG ZAG|BANCO CIDADAO|MC STUDIO LTDA|3957|1003561|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420100/2017|9775.00|2017-07-12|PRODUÇÃO|MUZAK|
103850|DABLIU A|OBRAS NOVEMBRO|TV CABO BRANCO LTDA|32370|4076|222/2013 ADITIVO- 05|25/05/2015 A 24/11/2016|420175/2015|299451.61|2015-12-18|VEICULAÇÃO|TV CABO BRANCO|
103040|TAG GROUP|EDITAIS JULHO|EDITORA JORNAL DA PARAIBA LTDA|5236|1001266|222/2013 ADITIVO- 02|25/05/2014 a24/11/2014|420107/2014|1338.60|2014-12-03|VEICULAÇÃO|JORNAL DA PARAIBA|
102479|SUPER LIGA 66|AVULSOS|ALFREDO P.DA SILVA|100228|100048|222/2013|25/11/2013 a 24/05/2014|420291/2013|1400.00|2014-04-25|PRODUÇÃO|JP BALÕES|
104397|TAG ZAG|FAIXAS E BANERS CARNAVAL 2017|PRATICA ETIQUETAS LTDA|1004504|1003457|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420075/2017|13248.00|2017-06-13|vEICULAÇÃO|PRATICA ETIQUETAS|
103125|TAG GROUP|EDITAIS MARÇO|EDITORA JORNAL DA PARAIBA LTDA|2932|1001190|222/2013 ADITIVO- 02|25/05/2014 a24/11/2014|420107/2014|465.60|2014-12-03|VEICULAÇÃO|JORNAL DA PARAIBA|
102550|SUPER LIGA 66|AVULSOS|SUPERLIGA 66 COMUNICAÇÃO LTDA|100043|100043|222/2013|25/11/2013 a 24/05/2014|420291/2013|2857.60|2014-04-25|CRIAÇÃO|SUPER LIGA 66|
103810|SUPERLIGA 66|FOGUEIRA DE PREMIOS|GRAFICA JB LTDA|1910946|1000586|222/2013 ADITIVO- 03|25/11/2014 a24/05/2015|420036/2015|992.00|2015-12-18|VEICULAÇÃO|GRAFICA JB|
104662|ART&C|MIDIA ALTERNATIVA|HUGO BARROSO SILVA DE MENEZES|1000018|1000417|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420107/2017|2425.00|2017-10-11|VEICULAÇÃO|H2R SOLUTONS|
103646|DABLIU A|LAGOA 430 ANOS|SISTEMA JC-NET DE COMUNICAÇÃO LTDA|1000044|40403|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420133/2015|4850.00|2015-10-29|VEICULAÇÃO|JC NET|
102397|DABLIU A|NATAL|SISTEMA TAMBAU DE COMUNICAÇÃO LTDA|3660|20156|222/2013|25/11/2013 a 24/05/2014|420294/2013|21825.00|2014-02-06|VEICULAÇÃO|RAD SUCESSO|
102430|ART C|INSTITUCIONAL|IMPRELL GRAFICA E EDITORA LTDA-ME|1000052|8616|222/2013|25/11/2013 a 24/05/2014|420293/2013|2425.00|2014-03-31|VEICULAÇÃO|JOR DA PRAIA|
102811|ART&C|IPTU|TV CABO BRANCO LTDA|28858|10523|222/2013 ADITIVO- 02|25/05/2014 a24/11/2014|420108/2014|69304.56|2014-07-29|VEICULAÇÃO|TV CABO BRANCO|
104005|DABLIU A|PRACA DA JUVENTUDE|PRATICA ETIQUETAS LTDA - ME|1002703|40472|222/2013 ADITIVO- 05|25/05/2015 A 24/11/2016|420150/2015|1186.80|2016-09-05|PRODUÇÃO|PRÁTICA ETIQUETAS|
104213|ART&C|TRANPARENCIA/EDUCAÇÃO|PARAIBA DOT COM INTERNET E COMUNICAÇÃO LTDA|1000087|1000200|222/2013 ADITIVO- 07|25/11/2016 A 24/05/2017|420030/2017|9700.00|2017-03-10|VEICULAÇÃO|PARAIBA.COM|
103723|ART&C|MIDIA OUTUBRO|PARAIBA DOTE COM INTERNET E COMUNICAÇÃO LTDA|1000045|1000118|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420161/2015|14550.00|2015-11-19|VEICULAÇÃO|PORTAL PARAIBA.COM.BR|
103908|SUPERLIGA 66|ZIKA VIRUS|RADIO LIBERDADE FM DE SANTA RITA LTDA.|450|1000818|222/2013 ADITIVO- 05|25/05/2015 A 24/11/2016|420190/2015|4888.80|2016-02-25|VEICULAÇÃO|RADIO LIBERDADE|
